In man-in-box?,Name,Preferred ID for nerve name,Superclass,Origin/Central connection/Parent nerve,Preferred ID for Origin/Central connection/Parent nerve,efferent/afferent for column D ,Anatomical landmarks along nerve (from origin to destination),Preferred ID for landmarks,Destination(s),Preferred ID (of destination),Extra details,Detailed relationship to landmarks,Notes,References
Yes,Lingual branch of right vagus nerve,FMA:53633,FMA:6235,Point on pharyngeal branch of right vagus nerve where lingual branch starts,,,"Leaves pharyngeal branch of right vagus at upper border of
* (Right middle pharyngeal constrictor)
Joins 
* (Right hypoglossal nerve) as it curves around the 
* (Right occipital artery)","* FMA:46633
* FMA:50901
* FMA:49587",Posterior part of the (tongue),UBERON:0001723,,,,
Yes,Lingual branch of left vagus nerve,FMA:53634,FMA:6235,Point on pharyngeal branch of left vagus nerve where lingual branch starts,,,"Leaves pharyngeal branch of left vagus at upper border of
* (Left middle pharyngeal constrictor)
Joins 
* (Left hypoglossal nerve) as it curves around the 
* (Left occipital artery)","* FMA:46634
* FMA:50903
* FMA:49588",Posterior part of the (tongue),UBERON:0001723,,,,
,Branch of vagus nerve to carotid body,FMA:6237,,Inferior ganglion of the vagus,UBERON:0005363,,Variable number. Arise from the inferior ganglion or travel in pharyngeal branch and sometimes in the superior laryngeal nerve,,(Carotid body),UBERON:0001629,"Form a plexus with the glossopharyngeal rami and branches of the cervical sympathetic trunk
Carotid body: On posterior aspect of bifurcation of common carotid artery.",,,"Gray's Anatomy p 467, Shoffstall and Pelot Project"
Yes,Vagal branch to right carotid body,FMA:53606,FMA:6237,Inferior ganglion of the right vagus,FMA:53555,,,,(Right carotid body),FMA:50101,,,,
Yes,Vagal branch to left carotid body,FMA:53607,FMA:6237,Inferior ganglion of the left vagus,FMA:53556,,,,(Left carotid body),FMA:50102,,,,
,Communicating branch of superior cervical ganglion with vagus nerve (Branch to superior cervical ganglion),"FMA:6901
ILX:0794054",,Point on branch of vagus nerve to carotid body where communicating branch of superior cervical ganglion with vagus nerve starts,,,Level of (hyoid bone) on vagus nerve,UBERON:0001685,(Superior cervical ganglion),UBERON:0001989,"Multiple fibre bundles seem to attach to the vagus along its length as it runs beside the sympathetic chain in the cervical region. If you pick a level such as the level of the hyoid bone, as the point on the vagus where the communicating branch ends, that will be accurate although not comprehensive.",Superior cervical ganglion is posterior to the internal carotid artery and anterior to C1-4 vertebrae.,,"Kazayuki Mitsuoka et al., Morphological relationship between the superior cervical ganglion and cervical nerves in Japanese cadaver donors Brain Behav. 2017 (Feb); 7(2): e00619

Tom Ruigrok et al., Sympathetic components in left and right human cervical vagus nerve: implications for vagus nerve stimulation Front Neuroanat. 10 July 2023 Volume 17 - 2023 | https://doi.org/10.3389/fnana.2023.1205660


Shoffstall and Pelot Project"
Yes,Communicating branch of superior cervical ganglion with right vagus nerve (Right branch to superior cervical ganglion),ILX:0794055,"FMA:6901
ILX:0794054",Point on vagal branch to right carotid body where communicating branch of superior cervical ganglion with right vagus nerve starts,,,Level of (hyoid bone) on right vagus nerve,UBERON:0001685,(Right superior cervical ganglion),FMA:6487,,,,
Yes,Communicating branch of superior cervical ganglion with left vagus nerve (Left branch to superior cervical ganglion),ILX:0794061,"FMA:6901
ILX:0794054",Point on vagal branch to left carotid body where communicating branch of superior cervical ganglion with left vagus nerve starts,,,Level of (hyoid bone) on left vagus nerve,UBERON:0001685,(Left superior cervical ganglion),FMA:6486,,,,
,Lobstein's Anastomosis (anastomosis with accessory nerve/CN XI),,,Superior ganglion of the vagus,UBERON:0005364,,,,Point on accessory nerve where vagus nerve connects,,"""Conventionally, the cranial root [of CNXI] fuses with the superior vagal ganglion at the jugular foramen (Lobstein’s anastomosis)"" (Roberts and Cardozo p240)","This isn't a branch as such, it's a point on the superior ganglion of the vagus where fibres from the cranial root of the accessory nerve fuse.",,"Shoffstall and Pelot Project
Siôn Owain Roberts, Arun Cardozo, A detailed review of the spinal accessory nerve and its anatomical variations with cadaveric illustration Anatomical Science International (2024) 99:239–253"
Yes,Lobstein's Anastomosis (anastomosis with right accessory nerve/CN XI),,Lobstein's Anastomosis (anastomosis with accessory nerve/CN XI),Superior ganglion of the right vagus,FMA:53553,,,,Point on right accessory nerve where right vagus nerve connects,,,,,
Yes,Lobstein's Anastomosis (anastomosis with left accessory nerve/CN XI),,Lobstein's Anastomosis (anastomosis with accessory nerve/CN XI),Superior ganglion of the left vagus,FMA:53554,,,,Point on left accessory nerve where left vagus nerve connects,,,,,
,"Superior laryngeal nerve
",UBERON:0011326,,(Inferior ganglion of the vagus),UBERON:0005363,,"* Middle of (Inferior ganglion of vagus) 
* In middle compartment of (Jugular foramen)
* Passes between (External carotid artery) and 
* (Internal carotid artery)
* Descends medially towards (Thyrohyoid membrane)
* Receives branch from (Superior cervical ganglion)
* Descends alongside (Pharynx)
* At first posterior and then medial to (Internal carotid artery)
* Divides into internal and external branches just below (Carotid bifurcation)","* UBERON:0005363
* UBERON:0005456
* UBERON:0001070
* UBERON:0001532
* FMA:55132
* UBERON:0001989
* UBERON:0006562
* UBERON:0001532
* FMA:50096","Divides into 
* (Internal branch of superior laryngeal nerve) and 
* (External branch of superior laryngeal nerve)","* FMA:6240
* FMA:6243","Comes off Vagus within carotid sheath from inferior vagal ganglion at C1-2 vertebra level, crosses internal carotid artery, descends medially toward thyrohyoid membrane. Receives a branch from the superior cervical sympathetic ganglion, descends alongside the pharynx, at first posterior and then medial, to the internal carotid artery, and divides into the internal and external laryngeal nerves
* (level of inferior border of jugular foramen on the vagus nerve) just below exit from jugular foramen
* (level of C1 transverse process on the vagus nerve) Gray's says C1-2 vertebra level so this is approximately the same leve
* Divides into internal and external branches just below (level of carotid bifurcation on the vagus nerve)

* (right level of inferior border of jugular foramen on the vagus nerve)
* (right level of C1 transverse process on the vagus nerve) 
* (right level of carotid bifurcation on the vagus nerve)

* ILX:0794626
* ILX:0794627
* ILX:0794620
* ILX:0794621
* ILX:0794638
* ILX:0794639","Detailed pathway described in Kiray et al. 
Receives a branch from the superior cervical sympathetic ganglion.",,"Gray's Anatomy p 467, Kiray, A., Naderi, S.,Ergur, I., Korman, E., Surgical anatomy of the internal branch of the superior laryngeal nerve Eur Spine J (2006) 15: 1320-1325, Shoffstall and Pelot Project"
Yes,Right superior laryngeal nerve,FMA:53530,UBERON:0011326,(Inferior ganglion of right vagus nerve),FMA:53555,,"* (Inferior ganglion of right vagus nerve)
* (Right jugular foramen)
* (Right external carotid artery)
* (Right internal carotid artery)
* (Right thyrohyoid membrane)
* (Right superior cervical ganglion)","* FMA:53555
* FMA:56433
* FMA:3945
* UBERON:0007143
* FMA:55133
* FMA:6487","* (Right internal laryngeal nerve)
* (Right external laryngeal nerve)","* FMA:53539
* FMA:53537",,,,
Yes,Left superior laryngeal nerve,FMA:53536,UBERON:0011326,(Inferior ganglion of left vagus nerve),FMA:53556,,"* (Inferior ganglion of left vagus nerve)
* (Left jugular foramen)
* (Left external carotid artery)
* (Left internal carotid artery)
* (Left thyrohyoid membrane)
* (Left superior cervical ganglion)","* FMA:53556
* FMA:56434
* FMA:4060
* UBERON:0007142
* FMA:55134
* FMA:6486","* (Left internal laryngeal nerve)
* (Left external laryngeal nerve)","* FMA:53540
* FMA:53538",,,,
,"Internal laryngeal nerve
(Internal branch of superior laryngeal nerve)","ILX:0793561 FMA:6240",,Point on superior laryngeal nerve where internal branch of superior laryngeal nerve starts,,,"* Leaves superior laryngeal nerve just below (Carotid bifurcation)
* Traverses from lateral to medial between (Thyroid cartilage) and 
* (Hyoid bone greater cornu)
* Pierces (Thyrohyoid membrane) accompanied by
* (Superior laryngeal artery)
* (Pyriform sinus)","* FMA:50096
* UBERON:0001738
* UBERON:0003997
* FMA:55132
* FMA:49480
* UBERON:8480022","Branches in piriform sinus into:
Superior branch of internal branch of superior laryngeal nerve which innervates:
* (Mucosa of epiglottis)
* Small part of anterior wall of (Vallecula of epiglottis)

Middle branch of internal branch of superior laryngeal nerve which innervates:
* (Aryepiglottic fold)s

Inferior branch of internal branch of superior laryngeal nerve which sends a few twigs to:
* (Arytenoid muscle)","* UBERON:0004982
* UBERON:0013165

* UBERON:0014385

* UBERON:0010958","From SLN below carotid artery bifurcation, inferior and deep to the greater cornu of the hyoid, travels lateral to medial (Kiray) (Stephens et al. says antero-inferior) between thyroid cartilage and hyoid bone, pierces thyrohyoid membrane. Splits into specific rami through pharyngoepiglottic fold of the piriform recess.  

* Just below this level: ILX:0794638 (level of carotid bifurcation on the vagus nerve) 
* ILX:0794639 (right level of carotid bifurcation on the vagus nerve)
* Traverses from lateral to medial between UBERON:0001738 (Thyroid cartilage) and UBERON:0003997 (Greater cornu of hyoid bone)
 * ILX:0794629 (level of greater horn of hyoid on the vagus nerve), ILX:0794630 (right level of greater horn of hyoid on the vagus nerve)
* Pierces FMA:55132 (Thyrohyoid membrane)
* UBERON:8480022 (Pyriform sinus)","Branches off Superior Laryngeal Nerve 35.2 +/- 0.2mm from bifurcation of carotid artery, traverses from lateral to medial at area between thyroid cartilage and hyoid bone, distance from midline: at C2-3 intervertebral disc level = 24.2 +/- 3.3mm, at C3-4 = 20.2 +/- 3.6mm, at C4-5 = 15.9 +/- 4.3mm. Passes immediatety inferior to greater horn of hyoid bone, approaches thyrohyoid membrane (TM) accompanied by superior laryngeal artery, both pierce external surface of TM. Pierces TM at C4-5 level. 
Branches into Superior Branch of (ibSLN) to innervate mucosa of epiglottis and small part of anterior wall of the vallecula, Middle (sensory) Branch which innervates aryepiglottic folds, and Inferior Branch which sends a few twigs to the interarytenoid muscles (also called arytenoid muscle). Branching occurs more frequently distal but sometimes proximal to TM. Ultimately pierces the inferior pharyngeal constrictor to unite with an ascending branch from the recurrent laryngeal nerve (Gray's p 467). As it ascends neck, it supplies branches to the mucosa and tunica muscularis of the oesophagus and trachea and to the inferior constrictor.","Sensory to laryngeal mucosa down to the level of the vocal folds, also carries afferent fibres from laryngeal neuromuscular spindles and other stretch receptors. It desecends to thyrohyoid membrane and pierces it above the superior laryngeal artery before dividing into an upper and lower branch. Kiray et al say the point at which the nerve branches is at C1 level 20.83% of their cases, C2 level 58.34% and C2-3 disc space 20.83%.","Gray's Anatomy p 467, p 598, Kiray, A., Naderi, S.,Ergur, I., Korman, E., Surgical anatomy of the internal branch of the superior laryngeal nerve Eur Spine J (2006) 15: 1320-1325, Shoffstall and Pelot Project, Stephens et al., Anatomy of the Internal Branch of the Superior Laryngeal Nerve Clinical Anatomy 12: 70-83 (1999)"
Yes,Right internal laryngeal nerve,FMA:53539,"ILX:0793561 FMA:6240",Point on right superior laryngeal nerve where right internal laryngeal nerve starts,,,* (Right superior laryngeal artery),* FMA:49481,"Branches in piriform sinus into:
Superior branch of internal branch of right superior laryngeal nerve which innervates:
* (Mucosa of epiglottis)
* Small part of anterior wall of (Vallecula of epiglottis)

Middle branch of internal branch of right superior laryngeal nerve which innervates:
* (Aryepiglottic fold)s

Inferior branch of internal branch of right superior laryngeal nerve which sends a few twigs to:
* (Arytenoid muscle)","* UBERON:0004982
* UBERON:0013165

* UBERON:0014385

* UBERON:0010958",,,,
Yes,Left internal laryngeal nerve,FMA:53540,"ILX:0793561 FMA:6240",Point on left superior laryngeal nerve where left internal laryngeal nerve starts,,,* (Left superior laryngeal artery),* FMA:49482,"Branches in piriform sinus into:
Superior branch of left internal laryngeal nerve which innervates:
* (Mucosa of epiglottis)
* Small part of anterior wall of (Vallecula of epiglottis)

Middle branch of left internal laryngeal nerve which innervates:
* (Aryepiglottic fold)s

Inferior branch of left internal laryngeal nerve which sends a few twigs to:
* (Arytenoid muscle)","* UBERON:0004982
* UBERON:0013165

* UBERON:0014385

* UBERON:0010958",,,,
,Superior ramus of internal branch of superior laryngeal nerve (Upper branch of internal laryngeal nerve),"FMA:6241
ILX:0789613",,Point on internal  laryngeal nerve where superior ramus of internal laryngeal nerve starts,,,(Pyriform sinus),UBERON:8480022,"* (Mucosa of pharynx)
* (Epiglottis)
* (Mucosa of epiglottis)
* (Vallecula) 
* (Laryngeal vestibule) (Shoffstall diagram)
* (Piriform sinus) (Stephens and Gray's Anatomy say to mucosa of piriform recess/sinus)","* UBERON:0000355
* UBERON:0000388
* UBERON:0004982
* UBERON:0013165
* FMA:55406
* UBERON:8480022",Piriform recess of the laryngopharynx,This branch travels horizontally. Branches off Internal branch of R Superior LN at pharyngoepiglottic fold of the piriform recess/sinus of the laryngopharynx,,"Shoffstall and Pelot Project, Gray's Anatomy p 467, p 599"
Yes,Superior ramus of right internal laryngeal nerve (Upper branch of right internal laryngeal nerve to laryngeal vestibule),"FMA:53575
ILX:0784524","FMA:6241
ILX:0789613",Point on right internal laryngeal nerve where superior ramus of right internal laryngeal nerve starts,,,(Right piriform fossa),FMA:55068,"* (Mucosa of pharynx)
* (Epiglottis)
* (Mucosa of epiglottis)
* (Vallecula) 
* (Laryngeal vestibule) (Shoffstall diagram)
* (Right piriform fossa) (Stephens and Gray's Anatomy say to mucosa of piriform recess/sinus)","* UBERON:0000355
* UBERON:0000388
* UBERON:0004982
* UBERON:0013165
* FMA:55406
* FMA:55068",,,,
